/,,,,
/*Cat,life,,,
/+GT-K,,,,
/,,,,
/時間(ms),スペル数,単語カウント,単語,難易度
330,3,1,,1
1330,3,1,,1
2330,3,1,,1
3330,3,2,,1
4330,3,2,,1
6330,3,2,,1
8330,3,3,,1
10330,3,3,,1
12330,3,3,,1
14330,3,4,,1
16330,3,4,,1
18330,3,4,,1
20330,3,5,,1
22330,3,5,,1
24330,3,5,,1
26330,3,6,,1
28330,3,6,,1
30330,3,6,,1
32330,3,7,,1
34330,3,7,,1
36330,3,7,,1
38330,3,8,,1
40330,3,8,,1
42330,3,8,,1
44330,3,9,,1
46330,3,9,,1
48330,3,9,,1
50330,3,10,,1
52330,3,10,,1
54330,3,10,,1
56330,3,11,,1
58330,3,11,,1
60330,3,11,,1
62330,3,12,,1
64330,3,12,,1
66110,3,12,,1
