/,,,,
/*Cat,life,,,
/+GT-K,,,,
/,,,,
/時間(ms),スペル数,単語カウント,単語,難易度
330,4,1,,3
1330,4,1,,3
2330,4,1,,3
3330,4,1,,3
4330,4,2,,3
4580,4,2,,3
4830,4,2,,3
5080,4,2,,3
6330,4,3,,3
6580,4,3,,3
6830,4,3,,3
7080,4,3,,3
8330,4,4,,3
8580,4,4,,3
8830,4,4,,3
9080,4,4,,3
9330,4,5,,3
9580,4,5,,3
9830,4,5,,3
10080,4,5,,3
12330,4,6,,3
12580,4,6,,3
12830,4,6,,3
13080,4,6,,3
14330,4,7,,3
14580,4,7,,3
14830,4,7,,3
15080,4,7,,3
15580,3,8,,3
15830,3,8,,3
16080,3,8,,3
16330,4,9,,3
16580,4,9,,3
16830,4,9,,3
17080,4,9,,3
17330,4,10,,3
17580,4,10,,3
17830,4,10,,3
18080,4,10,,3
20330,4,11,,3
20580,4,11,,3
20830,4,11,,3
21080,4,11,,3
22330,4,12,,3
22580,4,12,,3
22830,4,12,,3
23080,4,12,,3
23580,3,13,,3
23830,3,13,,3
24080,3,13,,3
24330,4,14,,3
24580,4,14,,3
24830,4,14,,3
25080,4,14,,3
25330,4,15,,3
25580,4,15,,3
25830,4,15,,3
26080,4,15,,3
28330,4,16,,3
28580,4,16,,3
28830,4,16,,3
29080,4,16,,3
30330,4,17,,3
30580,4,17,,3
30830,4,17,,3
31080,4,17,,3
31580,3,18,,3
31830,3,18,,3
32080,3,18,,3
32330,4,19,,3
32580,4,19,,3
32830,4,19,,3
33080,4,19,,3
33330,4,20,,3
33580,4,20,,3
33830,4,20,,3
34080,4,20,,3
35580,3,21,,3
35830,3,21,,3
36080,3,21,,3
36330,4,22,,3
36580,4,22,,3
36830,4,22,,3
37080,4,22,,3
37580,3,23,,3
37830,3,23,,3
38080,3,23,,3
38330,4,24,,3
38580,4,24,,3
38830,4,24,,3
39080,4,24,,3
39580,3,25,,3
39830,3,25,,3
40080,3,25,,3
40330,4,26,,3
40580,4,26,,3
40830,4,26,,3
41080,4,26,,3
41580,3,27,,3
41830,3,27,,3
42080,3,27,,3
42330,4,28,,3
42580,4,28,,3
42830,4,28,,3
43080,4,28,,3
44330,4,29,,3
44580,4,29,,3
44830,4,29,,3
45080,4,29,,3
45580,3,30,,3
45830,3,30,,3
46080,3,30,,3
46330,4,31,,3
46580,4,31,,3
46830,4,31,,3
47080,4,31,,3
47580,3,32,,3
47830,3,32,,3
48080,3,32,,3
48580,3,33,,3
48830,3,33,,3
49080,3,33,,3
49580,3,34,,3
49830,3,34,,3
50080,3,34,,3
52330,4,35,,3
52580,4,35,,3
52830,4,35,,3
53080,4,35,,3
54330,4,36,,3
54580,4,36,,3
54830,4,36,,3
55080,4,36,,3
55580,3,37,,3
55830,3,37,,3
56080,3,37,,3
56330,4,38,,3
56580,4,38,,3
56830,4,38,,3
57080,4,38,,3
57330,4,39,,3
57580,4,39,,3
57830,4,39,,3
58080,4,39,,3
59580,3,40,,3
59830,3,40,,3
60080,3,40,,3
60330,4,41,,3
60580,4,41,,3
60830,4,41,,3
61080,4,41,,3
62330,4,42,,3
62580,4,42,,3
62830,4,42,,3
63080,4,42,,3
63580,3,43,,3
63830,3,43,,3
64080,3,43,,3
64330,4,44,,3
64580,4,44,,3
64830,4,44,,3
65080,4,44,,3
65330,4,45,,3
65580,4,45,,3
65830,4,45,,3
66080,4,45,,3
