/,,,,
/*Cat,life,,,
/+GT-K,,,,
/,,,,
/時間(ms),スペル数,単語カウント,単語,難易度
340,4,1,,2
1330,4,1,,2
2340,4,1,,2
3340,4,1,,2
4340,4,2,,2
5080,4,2,,2
6330,4,2,,2
7080,4,2,,2
8340,3,3,,2
9330,3,3,,2
10080,3,3,,2
12330,4,4,,2
13080,4,4,,2
14330,4,4,,2
15080,4,4,,2
16330,3,5,,2
17330,3,5,,2
18080,3,5,,2
20330,4,6,,2
21080,4,6,,2
22330,4,6,,2
23080,4,6,,2
24330,3,7,,2
25330,3,7,,2
26080,3,7,,2
28330,4,8,,2
29080,4,8,,2
30330,4,8,,2
31080,4,8,,2
32330,3,9,,2
33330,3,9,,2
34080,3,9,,2
36330,4,10,,2
37080,4,10,,2
38330,4,10,,2
39080,4,10,,2
40330,4,11,,2
41080,4,11,,2
42330,4,11,,2
43080,4,11,,2
44330,4,12,,2
45080,4,12,,2
46330,4,12,,2
47080,4,12,,2
48080,3,13,,2
49080,3,13,,2
50080,3,13,,2
52330,4,14,,2
53080,4,14,,2
54330,4,14,,2
55080,4,14,,2
56330,3,15,,2
57330,3,15,,2
58080,3,15,,2
60330,4,16,,2
61080,4,16,,2
62330,4,16,,2
63080,4,16,,2
64330,3,17,,2
65330,3,17,,2
66080,3,17,,2
