/,,,,
/*曲名,,,
/bgm_maoudamashii_piano11,,,
/+音楽,,,
/魔王魂,,,
/,,,,
/時間(ms),スペル数,単語カウント,単語,難易度
830,4,1,,3
1180,4,1,,3
1530,4,1,,3
1880,4,1,,3
2700,3,2,,3
3080,3,2,,3
3460,3,2,,3
3830,4,3,,3
4220,4,3,,3
4580,4,3,,3
4960,4,3,,3
6830,4,4,,3
7200,4,4,,3
7590,4,4,,3
7960,4,4,,3
8705,3,5,,3
9085,3,5,,3
9460,3,5,,3
9830,4,6,,3
10220,4,6,,3
10585,4,6,,3
10960,4,6,,3
12830,4,7,,3
13200,4,7,,3
13590,4,7,,3
13960,4,7,,3
14700,3,8,,3
15080,3,8,,3
15460,3,8,,3
15830,4,9,,3
16220,4,9,,3
16580,4,9,,3
16960,4,9,,3
18830,4,10,,3
19200,4,10,,3
19590,4,10,,3
19960,4,10,,3
20700,3,11,,3
21080,3,11,,3
21460,3,11,,3
21830,4,12,,3
22200,4,12,,3
22580,4,12,,3
22960,4,12,,3
24830,4,13,,3
25100,4,13,,3
25580,4,13,,3
25950,4,13,,3
27830,3,14,,3
28580,3,14,,3
28960,3,14,,3
30830,3,15,,3
31590,3,15,,3
31960,3,15,,3
32330,3,16,,3
33095,3,16,,3
33470,3,16,,3
36835,4,17,,3
37140,4,17,,3
37615,4,17,,3
37960,4,17,,3
38710,3,18,,3
39080,3,18,,3
39460,3,18,,3
39850,4,19,,3
40220,4,19,,3
40590,4,19,,3
40970,4,19,,3
42080,3,20,,3
42455,3,20,,3
42840,3,20,,3
44350,3,21,,3
45095,3,21,,3
45845,3,21,,3
47360,3,22,,3
48080,3,22,,3
48830,3,22,,3
50330,3,23,,3
51080,3,23,,3
51830,3,23,,3
52840,3,24,,3
53090,3,24,,3
53330,3,24,,3
54840,4,25,,3
55610,4,25,,3
56410,4,25,,3
57260,4,25,,3
58130,4,26,,3
58590,4,26,,3
58980,4,26,,3
59360,4,26,,3
60110,3,27,,3
60490,3,27,,3
60860,3,27,,3
61240,4,28,,3
61620,4,28,,3
61990,4,28,,3
62360,4,28,,3
64240,4,29,,3
64640,4,29,,3
65000,4,29,,3
65390,4,29,,3
66180,3,30,,3
66590,3,30,,3
67000,3,30,,3
67430,4,31,,3
67860,4,31,,3
68310,4,31,,3
68775,4,31,,3
