/,,,,
/bgm_maoudamashii_piano11,,,
/魔王魂,,,
/,,,,
/時間(ms),スペル数,単語カウント,単語,難易度
830,4,1,,2
1960,4,1,,2
3830,4,1,,2
4960,4,1,,2
6830,4,2,,2
7960,4,2,,2
9830,4,2,,2
10960,4,2,,2
12830,4,3,,2
13960,4,3,,2
15830,4,3,,2
16960,4,3,,2
18830,4,4,,2
19960,4,4,,2
21830,4,4,,2
22960,4,4,,2
24830,4,5,,2
25950,4,5,,2
27830,4,5,,2
28960,4,5,,2
30830,4,6,,2
31590,4,6,,2
33090,4,6,,2
33830,4,6,,2
34600,4,7,,2
35350,4,7,,2
36080,4,7,,2
36830,4,7,,2
37950,4,8,,2
39830,4,8,,2
40970,4,8,,2
42830,4,8,,2
44350,3,9,,2
45090,3,9,,2
45830,3,9,,2
47350,3,10,,2
48080,3,10,,2
48830,3,10,,2
50350,4,11,,2
51830,4,11,,2
53330,4,11,,2
54080,4,11,,2
54830,3,12,,2
55610,3,12,,2
56400,3,12,,2
58140,4,13,,2
59360,4,13,,2
61240,4,13,,2
62360,4,13,,2
64240,4,14,,2
65390,4,14,,2
67430,4,14,,2
68770,4,14,,2
